행정동명,승하차인원_버스,승하차인원_지하철,승하차인원_버스_지하철
신도림동,530063,65247.0,595310.0
신림동,382183,83943.0,466126.0
신사1동,308265,25286.0,333551.0
신사2동,288889,17669.0,306558.0
신사동(강남구),332129,44944.0,377073.0
신사동(관악구),235518,0.0,235518.0
신수동,76422,0.0,76422.0
신원동,75605,0.0,75605.0
신월1동,97117,0.0,97117.0
신월2동,224544,0.0,224544.0
신월3동,79566,0.0,79566.0
신월4동,193119,0.0,193119.0
신월5동,141339,0.0,141339.0
신월6동,74764,0.0,74764.0
신월7동,198885,0.0,198885.0
신정1동,253575,0.0,253575.0
신정2동,74847,0.0,74847.0
신정3동,476371,14279.0,490650.0
신정4동,403798,19128.0,422926.0
신정6동,158456,0.0,158456.0
신정7동,151678,9542.0,161220.0
신촌동,1119769,54183.0,1173952.0
쌍문1동,249557,0.0,249557.0
쌍문2동,288050,0.0,288050.0
쌍문3동,194306,0.0,194306.0
쌍문4동,163630,0.0,163630.0
아현동,310821,46258.0,357079.0
안암동,270648,15284.0,285932.0
암사1동,136559,27833.0,164392.0
암사2동,99261,0.0,99261.0
암사3동,74987,0.0,74987.0
압구정동,611984,0.0,611984.0
약수동,124141,22706.0,146847.0
양재1동,890966,54385.0,945351.0
양재2동,474942,0.0,474942.0
양평1동,153264,10466.0,163730.0
양평2동,297268,11638.0,308906.0
여의동,1497219,134538.0,1631757.0
역삼1동,1061392,234824.0,1296216.0
역삼2동,444161,0.0,444161.0
역촌동,325696,0.0,325696.0
연남동,127848,0.0,127848.0
연희동,1026410,0.0,1026410.0
염리동,153099,0.0,153099.0
염창동,332534,24710.0,357244.0
영등포동,1108090,24530.0,1132620.0
영등포본동,182736,0.0,182736.0
오금동,308779,14540.0,323319.0
오류1동,216401,0.0,216401.0
오류2동,233231,14733.0,247964.0
오륜동,216843,25589.0,242432.0
옥수동,211861,12050.0,223911.0
왕십리2동,99811,21185.0,120996.0
왕십리도선동,327870,0.0,327870.0
용강동,150598,20473.0,171071.0
용답동,245922,25266.0,271188.0
용문동,68695,0.0,68695.0
용산2가동,270694,7640.0,278334.0
용신동,907939,28514.0,936453.0
우이동,232910,14332.0,247242.0
우장산동,336337,21570.0,357907.0
원효로1동,253501,0.0,253501.0
원효로2동,154997,0.0,154997.0
월계1동,371295,0.0,371295.0
월계2동,212063,0.0,212063.0
월계3동,210659,17604.0,228263.0
월곡1동,319891,0.0,319891.0
월곡2동,167157,25848.0,193005.0
위례동,407512,7490.0,415002.0
은천동,406699,34689.0,441388.0
을지로동,144530,80730.0,225260.0
응봉동,122328,0.0,122328.0
응암1동,532998,0.0,532998.0
응암2동,166566,0.0,166566.0
응암3동,250129,0.0,250129.0
이문1동,217914,0.0,217914.0
이문2동,102214,0.0,102214.0
이촌1동,178719,0.0,178719.0
이촌2동,61356,0.0,61356.0
이태원1동,179309,18642.0,197951.0
이태원2동,132116,0.0,132116.0
이화동,376892,50428.0,427320.0
인수동,261588,0.0,261588.0
인헌동,202482,0.0,202482.0
일원1동,103266,0.0,103266.0
일원본동,218199,15015.0,233214.0
자양1동,220281,0.0,220281.0
자양2동,195830,37459.0,233289.0
자양3동,161237,12733.0,173970.0
자양4동,219783,0.0,219783.0
잠실2동,188853,7185.0,196038.0
잠실3동,506484,36208.0,542692.0
잠실4동,92603,10006.0,102609.0
잠실6동,474007,171341.0,645348.0
잠실7동,75945,18658.0,94603.0
잠실본동,257500,0.0,257500.0
잠원동,394618,7327.0,401945.0
장안1동,536398,27872.0,564270.0
장안2동,426464,0.0,426464.0
장위1동,235921,0.0,235921.0
장위2동,212344,14623.0,226967.0
장위3동,193545,0.0,193545.0
장지동,271649,0.0,271649.0
장충동,111511,12184.0,123695.0
전농1동,735849,0.0,735849.0
전농2동,242995,0.0,242995.0
정릉1동,300782,6950.0,307732.0
정릉2동,256645,0.0,256645.0
정릉3동,195529,0.0,195529.0
정릉4동,377268,9354.0,386622.0
제기동,546871,19378.0,566249.0
조원동,945393,0.0,945393.0
종로1.2.3.4가동,1780568,130289.0,1910857.0
종로5.6가동,320579,49935.0,370514.0
종암동,506547,11819.0,518366.0
중계1동,228317,0.0,228317.0
중계2.3동,277693,19846.0,297539.0
중계4동,212182,0.0,212182.0
중계본동,175510,0.0,175510.0
중곡1동,128728,38529.0,167257.0
중곡2동,178643,0.0,178643.0
중곡3동,116057,14934.0,130991.0
중곡4동,131277,0.0,131277.0
중림동,119139,0.0,119139.0
중앙동,300680,68659.0,369339.0
중화1동,158077,15945.0,174022.0
중화2동,274139,0.0,274139.0
증산동,249277,35830.0,285107.0
진관동,673860,29938.0,703798.0
창1동,385650,42465.0,428115.0
창2동,239549,0.0,239549.0
창3동,119671,0.0,119671.0
창4동,324833,0.0,324833.0
창5동,225204,33062.0,258266.0
창신1동,165851,11418.0,177269.0
창신2동,130074,12984.0,143058.0
창신3동,18160,4806.0,22966.0
천연동,335013,10667.0,345680.0
천호1동,101006,0.0,101006.0
천호2동,248044,0.0,248044.0
천호3동,135795,0.0,135795.0
청구동,69537,0.0,69537.0
청담동,574318,0.0,574318.0
청량리동,332908,21669.0,354577.0
청룡동,353374,0.0,353374.0
청림동,83526,0.0,83526.0
청운효자동,234604,0.0,234604.0
청파동,246504,0.0,246504.0
충현동,508998,48024.0,557022.0
평창동,220912,0.0,220912.0
풍납1동,90936,0.0,90936.0
풍납2동,189182,0.0,189182.0
필동,173223,37991.0,211214.0
하계1동,292399,0.0,292399.0
하계2동,159645,25240.0,184885.0
한강로동,853625,64623.0,918248.0
한남동,731425,15439.0,746864.0
합정동,307132,21675.0,328807.0
항동,85024,0.0,85024.0
행당1동,360925,29513.0,390438.0
행당2동,163477,11591.0,175068.0
행운동,356946,41193.0,398139.0
혜화동,470420,0.0,470420.0
홍은1동,213022,0.0,213022.0
홍은2동,551429,0.0,551429.0
홍제1동,431459,0.0,431459.0
홍제2동,236204,6400.0,242604.0
홍제3동,254358,24899.0,279257.0
화곡1동,571718,42404.0,614122.0
화곡2동,121936,0.0,121936.0
화곡3동,146331,0.0,146331.0
화곡4동,152200,0.0,152200.0
화곡6동,361252,0.0,361252.0
화곡8동,230176,41520.0,271696.0
화곡본동,239559,0.0,239559.0
화양동,382185,78763.0,460948.0
황학동,100721,22455.0,123176.0
회기동,218314,0.0,218314.0
회현동,954891,90768.0,1045659.0
효창동,130781,10164.0,140945.0
후암동,176879,0.0,176879.0
휘경1동,402280,0.0,402280.0
휘경2동,227224,0.0,227224.0
흑석동,490509,11721.0,502230.0
