행정동명,미세먼지지수,공원수,도시농업(프로그램수),거주_유동_인구당_매출액,채소가게수,제로웨이스트 가게수,승하차인원_버스_지하철,카페수,유치원_초등학교,인구수,총_10대,총_20_30대,총_60대이상,1인세대
구의3동,14.731,0,0.0,140.16358067146905,2.0,1.0,249069.0,69.0,5.349309939017867e-05,56082,0.0826290075246959,0.3104382867943369,0.2347277201241039,0.3636589609743972
군자동,14.731,1,0.0,73.8003978053788,2.0,2.0,289370.0,62.0,0.0001296008294453,38580,0.0511145671332296,0.4063245204769311,0.2402280974598237,0.6208351648351649
금호1가동,12.345,1,0.0,10.314671202576438,1.0,0.0,135141.0,18.0,6.69478476266988e-05,29874,0.0716341969605677,0.2608957622012452,0.2675235991162884,0.3511029411764705
금호2.3가동,24.689,5,0.0,23.573400345769294,1.0,0.0,172453.0,23.0,6.801795674057951e-05,44106,0.059357003582279,0.2867183603137895,0.2598285947490137,0.3618680984702664
금호4가동,12.345,2,0.0,22.52946293481213,3.0,0.0,186494.0,18.0,0.0001400854521257,28554,0.0656300343209357,0.2610492400364222,0.2543251383343839,0.364828986412619
길동,17.327,5,0.0,150.96320341508522,15.0,0.0,288559.0,69.0,0.0001785395465095,44808,0.059141224781289,0.3047223710051776,0.2845250848062846,0.4644012207898693
길음1동,13.848,8,0.0,5.370553658967743,2.0,1.0,556362.0,33.0,0.0001436368859523,69620,0.1426888825050273,0.2056018385521401,0.19192760700948,0.2057408595253367
길음2동,27.697,0,0.0,12.67659580087619,1.0,0.0,389862.0,48.0,4.573101019801528e-05,43734,0.0943888050487035,0.2491425435587872,0.2164906022774043,0.2926019239578561
낙성대동,17.205,5,10.0,13.532174775072953,0.0,1.0,650121.0,52.0,2.8553480669293585e-05,35022,0.0493404145965393,0.5579350122779967,0.1605847752841071,0.7529742233972241
난곡동,14.245,4,0.0,37.75097431274544,5.0,0.0,239565.0,10.0,5.8150804419461134e-05,51590,0.0629579375848032,0.280325644504749,0.314634619112231,0.4682779456193353
난향동,14.245,1,0.0,83.76134176697957,2.0,0.0,142127.0,9.0,6.729475100942126e-05,29720,0.0920592193808882,0.2188425302826379,0.2748990578734858,0.3214862681744749
