과정명,도로명주소,행정동,위도,경도
[도봉구]  협력(민영)농장 분양 신청,서울특별시 도봉구 방학동 533-1,방학3동,37.65976,127.02135
(도봉구) 협력(민영)농장 분양,서울특별시 도봉구 방학동 533-1,방학3동,37.65976,127.02135
서울특별시 관악구 친환경 텃밭 분양공고 및 접,서울특별시 관악구 낙성대로 96,낙성대동,37.46995,126.95766
[양천구] 1마당텃밭(공동체) 분양,서울특별시 양천구 신월동 350-35,신월7동,37.51696,126.82706
[금천구] 도시농업체험장 참여자 모집,서울특별시 금천구 독산동 719-5,독산1동,37.46073,126.88977
[강동구 둔촌2동] 일자산 텃밭 참여자 모집 ,서울특별시 강동구 둔촌동 599,둔촌2동,37.5322,127.14987
[종로구 무악동] 도시텃밭 분양,서울특별시 종로구 무악동 46-1925,무악동,37.5779,126.96181
[성동구] 다산농원 경작자 추가 모집,경기도 남양주시 조안면 조안리 산 149-1,조안면,37.54126,127.29085
[강남구] 세곡천 힐링텃밭 분양 신청,서울특별시 강남구 세곡동 13-2,세곡동,37.46448,127.12069
(구로구) 주말농장 분양 신청,서울특별시 구로구 궁동 62,수궁동,37.50316,126.8255
(서초구) 친환경 도시텃밭 참여자 모집,서울특별시 서초구 내곡동 225,내곡동,37.44739,127.06016
(송파구) 주말농장(솔이텃밭) 참여자 모집,서울특별시 송파구 방이동 444-17,오륜동,37.5088,127.1392
2023년 광진구 자투리텃밭 분양,서울특별시 광진구 자양로 117,자양1동,37.53855,127.08192
2022년 종로구 상자텃밭 분양 (추가분),서울특별시 종로구 종로1길 36(수송동),종로1.2.3.4가동,37.56312,126.97495
2022년 종로구 상자텃밭 분양 (미 분양분),서울특별시 종로구 종로1길 36(수송동),종로1.2.3.4가동,37.56312,126.97495
2022년 1가구 1텃밭 가꾸기 상자텃밭 선착,서울특별시 송파구 올림픽로 326(신천동),잠실6동,37.56312,126.97495
(종로구) 2022년 상자텃밭 2차분양-개인,서울특별시 종로구 종로1길 36,종로1.2.3.4가동,37.57366,126.97878
(종로구)2022년 상자텃밭 분양 2차&ndash;단체,서울특별시 종로구 종로1길 36,종로1.2.3.4가동,37.57366,126.97878
(관악구) 친환경 상자텃밭 분양 공고,서울특별시 관악구 관악로 145,청룡동,37.47792,126.95129
2022년 상자텃밭 보급 신청안내,서울특별시 도봉구 마들로 656(방학동),방학1동,37.56312,126.97495
관악구 친환경 퇴비 지원(단체 신청자),서울특별시 관악구 낙성대로 96,낙성대동,37.47017,126.95782
관악구 친환경 퇴비 지원(개인 신청자),서울특별시 관악구 낙성대로 96,낙성대동,37.47017,126.95782
친환경 상자텃밭 가꾸기 신청자 모집 안내,서울특별시 서초구 남부순환로 2584(서초동),서초2동,37.56312,126.97495
2022년 상자텃밭 신청,서울특별시 강북구 도봉로89길 13(수유동),수유3동,37.56312,126.97495
2022년 상자텃밭 보급사업 안내,서울특별시 은평구 은평로 195(녹번동),녹번동,37.56312,126.97495
2022년 상자텃밭 신청,서울특별시 용산구 녹사평대로 150,이태원1동,37.53298,126.98998
2022년 친환경 상자텃밭 유상보급 ,서울특별시 용산구 녹사평대로 150,이태원1동,37.53298,126.98998
2022년 상자텃밭 주민분양 공고,서울특별시 금천구 시흥대로63길 91(시흥동),시흥1동,37.56312,126.97495
2022년 구로구 상자텃밭 분양 안내 ,서울특별시 구로구 가마산로 245(구로동),구로2동,37.56312,126.97495
2022년 강남구 상자텃밭 신청,서울특별시 강남구 도곡로18길 7(도곡동),도곡1동,37.56312,126.97495
2022년 상자텃밭 보급 안내,서울특별시 성북구 보문로 168(삼선동5가),삼선동,37.56312,126.97495
2022년 직접 키워먹는 상자텃밭 분양,서울특별시 양천구 목동동로 105(신정동),신정6동,37.56312,126.97495
제10기 서대문구 친환경 주말농장 교육생 모집,경기도 양주시 장흥면 일영로502번길 52-57,장흥면,37.56312,126.97495
상자텃밭 가꾸기 참여자 모집,서울특별시 중구 창경궁로 17,광희동,37.56422,126.99773
동행서울 친환경 농장 참여자 모집,서울특별시 중구 서소문로 124,소공동,37.56312,126.97495
2022년 상자텃밭 참여 가구 모집,서울특별시 영등포구 당산로 123(당산동3가),당산1동,37.56312,126.97495
2022년 상자텃밭 분양 공고,서울특별시 노원구 노해로 437(상계동),상계6.7동,37.56312,126.97495
금천 도시농업체험장 참여자 모집,서울특별시 금천구 독산동 719-5 ,독산1동,37.46073,126.88977
"(양천구) 양천 1, 2 마당텃밭 분양 안내",서울특별시 양천구 신월동 350-31,신월7동,37.51635,126.83213
2022년 친환경 상자텃밭 신청 안내,서울특별시 광진구 자양로 117(자양동),자양1동,37.56312,126.97495
(종로구) 2022년 상자텃밭 분양,서울특별시 종로구 종로1길 36,종로1.2.3.4가동,37.57366,126.97878
나눔텃밭(공공) 및 협력농장(민영) 분양 신청,서울특별시 도봉구 쌍문동 442-1,쌍문1동,37.65192,127.01884
"중랑행복 1, 2, 3농장 분양 신청 안내",서울특별시 중랑구 신내동 256-9,신내1동,37.61809,127.1087
오곡텃밭 농장 신청 ,서울특별시 강서구 오곡동 417-2,공항동,37.55757,126.78013
2022년 은평구 향림도시농업체험원 텃밭 분양,서울특별시 은평구 연서로43길 16-15,불광2동,37.62802,126.9268
문래동 공공공지 도시텃밭 모집 안내,서울특별시 영등포구 문래동3가 55-6,문래동,37.51838,126.89928
2022년 공공도시텃밭 분양 안내,서울특별시 노원구 상계동 95-6,상계3.4동,37.66495,127.07837
친환경 도시텃밭 분양 안내,서울특별시 관악구 봉천동 259-1,낙성대동,37.4712,126.95775
구로구 주말농장 분양신청 안내,서울특별시 구로구 궁동 62,수궁동,37.50316,126.82549
친환경 도시텃밭 신청안내,서울특별시 강동구 암사동 603-3,암사2동,37.55518,127.12592
2022년 광진구 자투리텃밭 분양 안내,서울특별시 광진구 자양로 117,자양1동,37.53855,127.08192
주말농장(솔이텃밭)참여자 모집,서울특별시 송파구 방이동 445-17,오륜동,37.50801,127.13878
2022년 도시농업 자투리텃밭 분양,서울특별시 마포구 상암동 1691,상암동,37.57718,126.88719
친환경 도시텃밭 가꾸기 참여자 모집 안내,서울특별시 서초구 남부순환로 2584(서초동),서초2동,37.56312,126.97495
용산가족공원 텃밭 분양,서울특별시 용산구 서빙고로 185,서빙고동,37.52012,126.98459
무지개텃밭 및 다산농원 분양자 모집,서울특별시 성동구 행당동 7,행당1동,37.56292,127.03711
서울농부포털 홍보 이벤트(천막화분세트 보급),서울특별시 동작구 노량진로 74,대방동,37.51297,126.93213
(양천구) 2021 직접 키워먹는 상자텃밭 분,서울특별시 양천구 목동동로 105,신정6동,37.51693,126.86615
21년 상자텃밭 추가모집(분양수량중 3개추첨),서울특별시 강서구 화곡로 302,화곡6동,37.55074,126.84995
2021년 중랑행복 신내농장 텃밭 분양,서울특별시 중랑구 신내1동 256-9,신내1동,37.61809,127.1087
2021년 중랑행복 망우1농장 배나무 분양,서울특별시 중랑구 망우3동 423-43,망우3동,37.59195,127.10317
2021년 중랑행복 망우1농장 텃밭 분양,서울특별시 중랑구 망우3동 423-43,망우3동,37.59195,127.10317
