행정동명,2023년09월_전체세대,2023년09월_1인세대,2023년09월_2인세대,2023년09월_3인세대,2023년09월_4인세대,2023년09월_5인세대,2023년9월_6인가구이상,채소가게수,제로웨이스트 가게수,유치원수,거주인구대비취약자수,거주인구대비취약자백분위수,미세먼지지수,미세먼지백분위,행정구역면적,공원수,공원율,도시농업(프로그램수),도시농업(시설수),초등학교수,사업체수 (개),종사자수 (명),채식식당수,인구수,1_0대,1_10대,1_20대,1_30대,1_40대,1_50대,1_60대,1_70대,1_80대,1_90대,1_기타,2_0대,2_10대,2_20대,2_30대,2_40대,2_50대,2_60대,2_70대,2_80대,2_90대,2_기타,카페수,승하차인원_버스_지하철,1점포당_1년_매출액,행정동별_1년_매출액
강일동,13095,3589,3586,2776,2340,673,131,3.0,0.0,4.0,9803,94.0,32.123,40,3.6447,8,5.71,2.0,1.0,3.0,1443,5960,1.0,32811.0,1489,1864,1703,1967,2641,2282,2137,1173,380,45,1,1358,1750,1669,2231,2799,2494,2775,1302,603,141,7,20.0,262007.0,81688655.18,2777414276.0
개봉1동,14972,5491,3984,2925,1991,447,134,4.0,0.0,2.0,9640,93.0,17.357,28,1.3189,2,0.26,0.0,0.0,1.0,2540,6162,0.0,33313.0,1012,1133,2070,2584,1270,2722,1473,1432,541,36,1127,996,1052,1981,2460,1163,2764,1528,1591,727,103,1111,44.0,523111.0,82670342.96,4298857834.0
개봉2동,12413,3538,3565,2762,1951,436,161,0.0,0.0,3.0,9371,92.0,17.357,29,0.782,1,0.23,0.0,0.0,0.0,1789,3901,1.0,30159.0,879,1066,1673,1991,1231,2270,1186,1489,540,35,1086,837,1020,1744,1998,1131,2470,1517,1664,656,98,1072,33.0,312685.0,46092004.17,2442876221.0
개봉3동,8733,2885,2597,1751,1172,263,65,3.0,0.0,1.0,5955,76.0,17.357,29,0.8278,5,50.04,0.0,0.0,3.0,1428,8477,0.0,19842.0,458,665,1182,1300,761,1629,852,941,321,24,741,470,650,1081,1221,748,1784,1036,1055,477,62,694,29.0,123892.0,19898709.41,3561868984.0
개포1동,2618,688,606,579,549,144,52,4.0,0.0,1.0,2045,36.0,16.56,23,1.4488,0,0.0,0.0,0.0,1.0,279,1251,0.0,6874.0,220,332,337,306,503,522,567,379,135,9,1,207,373,350,369,566,532,603,379,150,33,1,1.0,103771.0,53937385.03,31482399997.0
개포2동,14419,2465,3453,3758,3795,745,203,2.0,0.0,2.0,5547,73.0,33.12,42,2.2416,12,6.0,0.0,0.0,4.0,1309,4366,1.0,38769.0,1766,2466,2192,2351,3192,3192,2160,1145,275,17,2,1656,2417,2227,2810,3797,3235,2366,1123,291,89,0,26.0,298994.0,60217692.47,5479810015.0
개포3동,7404,2549,1895,1553,1152,202,53,0.0,0.0,2.0,4986,68.0,49.679,49,1.2993,4,2.16,0.0,0.0,1.0,863,10440,0.0,17069.0,557,1076,893,1176,1394,1193,1066,704,187,16,2,501,586,780,1240,1554,1276,1440,987,373,68,0,15.0,69514.0,53937385.03,31482399997.0
개포4동,10102,3677,2297,2029,1638,348,113,1.0,0.0,2.0,4821,67.0,16.56,23,1.6642,1,0.1,0.0,0.0,2.0,2900,12667,3.0,23395.0,826,1049,1483,1767,1808,1894,1486,721,217,22,0,761,1154,1489,1890,1989,2042,1663,795,277,59,3,37.0,186882.0,30982675.46,3191215572.0
거여1동,5568,2225,1443,951,728,176,45,4.0,0.0,1.0,3372,52.0,17.603,30,0.5697,7,11.2,0.0,0.0,1.0,1228,3504,2.0,24218.0,540,874,1726,1748,1660,2176,1942,1078,364,28,4,446,836,1624,1556,1634,2144,2084,1140,514,98,2,20.0,98213.0,22263650.93,912809688.0
거여2동,10093,3332,2703,2039,1566,365,88,4.0,0.0,3.0,4726,66.0,17.603,30,0.6124,6,2.81,0.0,0.0,1.0,1225,4647,1.0,47436.0,1908,1852,2578,3534,3628,3858,3284,1814,600,42,0,1802,1700,2560,3508,3668,4102,3770,2060,986,174,8,30.0,107255.0,71754672.65,6170901848.0
고덕1동,8159,1385,1567,2145,2527,437,98,2.0,0.0,2.0,7794,87.0,14.797,11,1.5173,5,2.82,0.0,0.0,2.0,1274,3072,2.0,23876.0,1241,2133,1088,1154,2555,1790,1357,630,186,25,0,1050,1636,910,1343,2691,1615,1482,634,273,79,4,22.0,104316.0,2328704.133,139722248.0
고덕2동,8951,2367,2178,2139,1872,323,72,4.0,2.0,2.0,6147,78.0,14.797,11,2.205,7,12.12,0.0,0.0,2.0,1063,3653,1.0,22727.0,1264,1229,1084,1640,2250,1601,1467,702,190,15,1,1181,1067,1021,1807,2104,1623,1516,673,251,41,0,39.0,157730.0,39529961.67,2292737777.0
고척1동,11546,3923,3176,2292,1741,328,86,0.0,0.0,2.0,6722,82.0,17.357,29,1.1504,1,0.03,0.0,0.0,3.0,3188,10326,1.0,26217.0,867,944,1717,2575,988,1969,966,990,325,23,900,792,928,1696,2390,868,2024,1043,1074,464,91,866,50.0,370898.0,53955105.67,4100588031.0
고척2동,11497,4148,2999,2205,1669,367,109,3.0,0.0,1.0,7871,87.0,17.357,28,1.0248,6,26.25,0.0,0.0,2.0,2416,5276,1.0,25991.0,702,1063,1614,1572,891,2324,1153,1128,472,31,962,645,1008,1567,1454,904,2354,1153,1348,661,94,992,25.0,240770.0,17342344.59,3121622026.0
공덕동,18631,9274,3960,2863,2005,413,116,5.0,0.0,3.0,8711,90.0,68.63,54,1.0184,4,0.67,0.0,0.0,2.0,3861,21353,3.0,73514.0,2080,2144,4894,6214,5078,5988,4686,2124,1048,90,2,1808,2126,6948,6858,5036,6382,5042,2882,1824,252,8,69.0,399267.0,49102788.58,18511751294.0
공릉1동,18625,9525,3882,2680,1994,428,116,7.0,2.0,6.0,9433,93.0,15.673,17,1.2623,8,17.44,0.0,0.0,3.0,3992,14564,3.0,72480.0,1644,2572,6352,5086,5074,5310,5236,2754,1006,94,0,1530,2446,6838,4924,4980,5564,6028,3260,1498,276,8,81.0,296420.0,25976249.54,10806119808.0
공릉2동,17833,6571,3710,3546,3233,625,148,3.0,1.0,10.0,9791,94.0,15.673,17,6.9783,10,0.5,0.0,0.0,4.0,2754,13078,5.0,83404.0,3132,4342,6818,5436,6418,6232,4860,2380,848,90,0,2944,4230,6992,5556,6938,6448,5524,2640,1378,192,6,98.0,373913.0,18756391.37,2850971488.0
공항동,13830,5960,3042,2379,1832,493,124,5.0,2.0,4.0,6976,83.0,98.902,58,10.8646,7,0.47,2.0,1.0,2.0,2838,34394,4.0,60020.0,3116,2268,3880,5330,5608,4104,3646,1708,684,58,0,2948,2220,3692,4856,4848,4006,3900,2006,950,190,2,53.0,239768.0,29454607.47,4948374055.0
광장동,11842,2291,2104,3188,3511,582,166,1.0,0.0,5.0,9731,93.0,14.731,10,2.3919,1,0.98,1.0,1.0,3.0,2180,14269,1.0,68076.0,2650,5472,3870,2950,6250,6068,3402,1506,702,106,4,2354,5336,3884,3686,7570,5950,3424,1584,1080,220,8,55.0,162258.0,36167442.02,4665600020.0
광희동,3887,2819,590,280,140,34,24,6.0,1.0,0.0,1283,22.0,129.972,64,0.7369,3,0.76,1.0,1.0,0.0,9352,34741,3.0,11362.0,124,176,996,1218,692,838,914,478,178,22,0,108,214,1422,1090,652,664,760,526,252,38,0,135.0,412314.0,24959126.15,24609698379.0
교남동,4343,1625,1045,892,633,124,24,1.0,0.0,0.0,2784,46.0,71.088,54,0.3467,1,3.09,0.0,0.0,0.0,592,8371,1.0,19498.0,744,788,1014,1310,1572,1598,1074,532,310,24,0,738,824,1212,1600,1806,1714,1282,854,438,64,0,24.0,205542.0,22190148.63,4082987347.0
구로1동,8347,2425,2068,1884,1600,295,75,1.0,0.0,3.0,5305,71.0,15.774,17,1.0082,0,0.0,0.0,0.0,1.0,1158,3235,1.0,20618.0,823,1002,1164,1780,972,1457,667,585,167,20,807,814,897,1280,1770,1002,1534,833,593,261,50,821,17.0,106695.0,55276120.67,9605288968.0
구로2동,12191,6353,2943,1659,924,232,80,8.0,2.0,1.0,8739,91.0,15.774,18,1.7021,3,0.4,2.0,2.0,1.0,9656,31811,3.0,22803.0,327,635,1478,1532,729,2234,1151,1126,529,26,812,337,586,1461,1218,619,2061,1118,1456,701,89,720,39.0,610995.0,52872289.0,15808814412.0
구로3동,13673,8473,2413,1487,1021,215,64,1.0,1.0,3.0,5707,74.0,15.774,17,1.0394,2,0.2,0.0,0.0,2.0,10885,94712,6.0,23339.0,513,667,2199,2645,1071,1673,696,732,293,20,982,470,652,2235,2026,906,1444,736,901,430,49,805,118.0,490330.0,56884086.61,35666322307.0
구로4동,10427,5577,2539,1335,775,156,45,20.0,0.0,2.0,6544,81.0,15.774,17,0.5241,2,1.66,0.0,0.0,1.0,2393,6469,1.0,18940.0,336,466,1222,1448,638,1573,803,949,415,20,645,285,467,1375,1334,580,1585,910,1146,632,65,602,36.0,303239.0,53382383.48,3469854926.0
구로5동,15684,8517,3190,2116,1442,324,95,1.0,1.0,1.0,7768,87.0,15.774,18,1.0117,2,0.55,0.0,0.0,2.0,5596,28055,1.0,29309.0,795,713,2151,2865,1131,2187,1124,1040,395,35,944,738,735,2888,2790,1025,2198,1141,1214,525,90,900,74.0,473423.0,88776178.77,42257461095.0
구산동,13497,4872,3504,2611,1892,487,131,3.0,2.0,4.0,8970,91.0,13.483,2,1.3888,8,6.42,0.0,0.0,3.0,1996,6219,1.0,63280.0,1400,2548,4040,3794,4752,5412,4946,2624,1116,104,4,1412,2594,4632,3778,4546,5786,5110,2946,1552,180,4,40.0,198317.0,16435216.01,2366671106.0
구의1동,13125,7628,2610,1550,1041,239,57,3.0,0.0,2.0,4398,63.0,14.731,11,0.5649,3,0.53,0.0,0.0,0.0,2623,7443,3.0,46796.0,870,1212,4400,4686,3318,3338,2712,1232,550,56,0,904,1240,5288,4604,3262,3556,3004,1606,828,124,6,62.0,172567.0,23728713.52,8257592305.0
구의2동,11486,4390,2776,2149,1689,366,116,2.0,0.0,3.0,7003,83.0,14.731,10,1.387,2,0.09,0.0,0.0,2.0,1929,5989,1.0,51676.0,1430,2214,3286,3552,3950,4254,3474,1832,698,38,0,1386,2118,3480,3724,4158,4680,3986,2202,1050,154,10,44.0,231042.0,36865005.55,8068169787.0
구의3동,12069,4389,2723,2442,2021,383,111,2.0,1.0,2.0,6640,81.0,14.731,10,1.0268,0,0.0,0.0,0.0,1.0,3708,16217,2.0,56082.0,1656,2276,3818,4378,3850,4412,3558,1728,694,76,4,1622,2358,4592,4622,4450,4884,3924,1966,1044,166,4,69.0,249069.0,46881188.39,15611435734.0
군자동,11375,7062,2068,1264,777,149,55,2.0,2.0,3.0,4337,62.0,14.731,10,0.7375,1,0.2,0.0,0.0,2.0,2389,9834,3.0,38580.0,708,1046,4104,3682,2558,2658,2454,1284,534,22,0,644,926,4470,3420,2482,2614,2660,1414,784,112,4,62.0,289370.0,28681937.56,8834036768.0
금호1가동,6528,2292,1661,1399,923,195,58,1.0,0.0,1.0,4213,61.0,12.345,1,0.4446,1,18.06,0.0,0.0,1.0,927,2416,0.0,29874.0,1160,1090,1552,2176,2558,2244,1988,1022,418,32,0,1060,1050,1594,2472,2496,2430,2372,1296,756,104,4,18.0,135141.0,11504769.37,621257546.0
금호2.3가동,9871,3572,2622,2020,1320,264,73,1.0,0.0,2.0,5907,76.0,24.689,36,0.6307,5,4.46,0.0,0.0,1.0,1458,2963,2.0,44106.0,1656,1306,2532,3748,3506,3352,2862,1428,632,60,6,1502,1312,2498,3868,3662,3704,3276,1932,1100,156,8,23.0,172453.0,32690117.23,1863336682.0
금호4가동,6403,2336,1665,1336,857,162,47,3.0,0.0,2.0,4065,59.0,12.345,2,0.8317,2,5.84,0.0,0.0,2.0,999,2294,0.0,28554.0,1288,952,1360,2162,2578,2120,1758,908,364,26,4,1164,922,1360,2572,2648,2166,2152,1260,684,102,4,18.0,186494.0,24561032.22,1768394320.0
길동,21953,10195,5022,3561,2440,545,190,15.0,0.0,5.0,11189,96.0,17.327,28,1.6303,5,5.2,0.0,0.0,3.0,5966,23814,1.0,44808.0,1104,1389,3003,3692,3350,3464,3451,1805,539,50,3,992,1261,3454,3505,3202,3643,3955,1975,808,156,7,69.0,288559.0,37109181.48,18369044835.0
길음1동,12472,2566,2617,3173,3375,599,142,2.0,1.0,7.0,10809,96.0,13.848,5,0.7967,8,1.63,0.0,0.0,3.0,1583,4419,2.0,69620.0,3124,4848,3224,3402,6746,5902,3074,1702,838,46,0,2960,5086,3540,4148,7834,5444,3820,2464,1210,200,8,33.0,556362.0,23597740.79,1227082521.0
길음2동,8732,2555,2036,1972,1711,375,83,1.0,0.0,2.0,4595,65.0,27.697,37,0.5875,0,0.0,0.0,0.0,0.0,1696,5554,2.0,43734.0,2066,2196,2344,2786,3766,3596,2434,1294,434,42,0,2024,1932,2692,3074,4108,3682,2876,1506,744,134,4,48.0,389862.0,28660432.14,2006230250.0
낙성대동,12104,9114,1546,739,527,132,46,0.0,1.0,0.0,3038,49.0,17.205,27,2.2611,5,0.5,10.0,3.0,1.0,1997,8919,10.0,35022.0,548,838,5638,4206,2022,1760,1346,796,362,30,0,506,890,6256,3440,1740,1554,1434,1050,550,52,4,52.0,650121.0,16507747.85,3384088310.0
난곡동,12909,6045,3241,1943,1315,266,99,5.0,0.0,2.0,7269,85.0,14.245,8,0.9717,4,1.25,0.0,0.0,1.0,1485,3215,0.0,51590.0,890,1720,3774,3842,3770,4376,4150,2318,944,58,0,966,1528,3674,3172,3148,4498,4464,2860,1240,192,6,10.0,239565.0,52102019.45,4011855498.0
난향동,6190,1990,1608,1233,1034,246,79,2.0,0.0,1.0,4517,64.0,14.245,8,0.8208,1,0.12,0.0,0.0,1.0,734,2130,0.0,29720.0,924,1400,1714,1538,2554,2752,1998,1196,456,22,0,928,1336,1608,1644,2602,2550,2334,1446,622,96,0,9.0,142127.0,39549654.63,5253859384.0
남가좌1동,6157,1376,1358,1563,1482,291,87,6.0,0.0,1.0,4883,67.0,13.844,4,0.4752,4,2.9,0.0,0.0,1.0,954,2718,1.0,33446.0,2044,1802,1494,1942,3472,2346,1666,774,420,42,0,1964,1840,1696,2524,3382,2388,1830,1108,616,94,2,17.0,193231.0,59796450.0,717557400.0
남가좌2동,13375,5541,2940,2415,1977,406,96,3.0,1.0,3.0,7778,87.0,13.844,5,0.7832,4,0.73,0.0,0.0,1.0,2044,5698,3.0,58536.0,2462,2372,4016,3976,4844,4368,3400,1892,864,76,4,2356,2404,4214,4276,4704,4546,3608,2548,1412,182,12,67.0,359485.0,27409354.43,4741818316.0
남영동,4890,3751,605,296,180,47,11,1.0,0.0,0.0,1631,30.0,75.71,55,1.1769,3,0.44,0.0,0.0,0.0,2245,18439,4.0,13926.0,144,250,740,1100,1068,2064,1996,794,272,26,2,122,202,902,952,700,940,854,468,290,34,6,55.0,579478.0,40261178.31,13406972378.0
남현동,9910,5709,1950,1209,786,197,59,2.0,1.0,2.0,3990,58.0,16.457,20,3.2786,5,0.18,0.0,0.0,1.0,1442,5853,1.0,35640.0,794,728,3568,3928,2176,2234,2024,1252,540,36,2,726,768,4062,3414,2104,2618,2518,1480,574,90,4,33.0,238741.0,28503566.36,2137767477.0
내곡동,7200,2239,1959,1494,1119,281,108,2.0,0.0,2.0,5632,74.0,50.458,49,12.6991,14,40.69,1.0,1.0,1.0,1493,9802,1.0,34682.0,1592,1488,1778,2132,3004,2284,2396,1482,534,52,0,1514,1470,1658,2494,3034,2490,2872,1558,698,148,4,38.0,184435.0,13549867.14,298097077.0
노량진1동,16921,9077,3364,2311,1680,380,109,2.0,0.0,7.0,8156,88.0,34.701,43,1.6123,4,8.18,0.0,0.0,3.0,2367,7337,2.0,64000.0,1592,1910,6194,6268,4398,4594,4110,2246,1018,86,2,1572,1784,5372,4882,3844,4628,4750,2812,1656,274,8,80.0,846060.0,35770664.51,15703321719.0
노량진2동,6830,4736,1175,532,289,76,22,3.0,0.0,1.0,3160,50.0,15.774,17,0.6001,0,0.0,0.0,0.0,0.0,2011,6809,1.0,20910.0,208,382,2128,2256,1374,1638,1662,860,408,38,0,208,392,1932,1510,1020,1426,1758,1108,494,106,2,31.0,276751.0,15131261.05,665775486.0
녹번동,17627,7688,4449,3039,1934,395,122,1.0,8.0,4.0,10392,95.0,13.483,3,1.7929,10,45.37,3.0,2.0,3.0,3045,13682,2.0,72644.0,2120,2122,4274,5548,5586,5540,4890,2730,1272,74,2,2258,2164,4936,5880,5302,6118,5926,3706,1878,314,4,49.0,406070.0,13523365.53,1419953381.0
논현1동,13633,9411,2272,1031,655,175,89,4.0,0.0,1.0,3770,56.0,12.345,1,1.2578,2,2.51,0.0,0.0,1.0,8395,48548,7.0,21261.0,275,400,1785,2552,1764,1361,1002,603,254,34,1,285,421,2235,2696,1918,1380,1183,759,294,56,3,122.0,573781.0,40780965.4,50038244549.0
논현2동,11288,6464,2128,1428,980,193,95,7.0,2.0,2.0,4546,64.0,12.345,1,1.4574,6,0.54,0.0,0.0,1.0,9228,71748,3.0,20662.0,482,614,1439,1914,1729,1430,1011,672,279,22,0,449,609,1848,2256,1914,1571,1225,813,317,66,2,121.0,463201.0,34448548.35,29832442871.0
능동,6462,3883,1292,695,442,107,43,1.0,0.0,2.0,2330,40.0,14.731,11,1.0912,2,51.44,0.0,0.0,1.0,1214,6229,0.0,22344.0,476,504,1970,2240,1586,1342,1172,632,316,16,0,476,514,2544,2716,1666,1484,1450,798,390,50,2,38.0,253379.0,54433232.55,8382717813.0
다산동,6822,3326,1634,998,681,137,46,0.0,0.0,2.0,3448,53.0,14.146,7,0.5236,3,0.44,0.0,0.0,1.0,2023,8723,2.0,26806.0,468,740,2066,2268,1800,2108,1878,1092,496,42,0,446,634,2258,2130,1718,2228,2210,1294,798,128,4,33.0,105541.0,48560332.72,12237203845.0
답십리1동,12918,5426,2823,2427,1745,397,100,2.0,0.0,1.0,7496,86.0,14.146,7,0.7876,4,3.53,0.0,0.0,2.0,3799,9651,1.0,56026.0,2400,1950,3406,4532,4844,4012,3510,1620,644,50,2,2368,1946,4266,5058,4594,4084,3516,1948,1090,172,14,42.0,260722.0,40134165.88,5377978228.0
답십리2동,12513,4737,3266,2372,1648,378,112,5.0,0.0,4.0,7878,87.0,14.146,7,0.8751,4,18.89,0.0,0.0,1.0,2847,8207,1.0,55284.0,1582,1734,3266,4318,3874,4522,4150,2202,1008,82,2,1644,1776,3240,4128,3828,4726,4732,2750,1502,218,0,42.0,258731.0,83695111.9,3515194700.0
당산1동,11591,6455,2461,1468,939,202,66,8.0,2.0,2.0,4758,66.0,50.32,49,0.7447,1,1.5,2.0,2.0,0.0,5494,24326,4.0,41838.0,1032,952,3166,4794,2790,2976,2538,1362,590,52,0,988,888,4212,4704,2638,2810,2796,1596,812,138,4,68.0,278653.0,25347299.61,10747255033.0
당산2동,18947,10187,3231,2774,2146,466,143,2.0,0.0,3.0,7993,88.0,67.093,53,1.5802,7,0.66,0.0,0.0,2.0,4485,29031,2.0,73540.0,2578,2316,5374,7694,5198,4466,3750,2032,812,88,6,2318,2380,8308,8570,5304,4790,3980,2214,1176,182,4,73.0,559980.0,88367628.07,31193772710.0
대림1동,6965,3255,1722,1073,718,152,45,3.0,0.0,2.0,4746,66.0,15.774,17,0.4986,2,1.48,0.0,0.0,1.0,1472,4850,1.0,27986.0,786,876,1888,2026,2008,2312,2146,1228,632,38,2,666,686,1872,1698,1758,2440,2374,1646,774,130,0,27.0,240085.0,202274700.9,8495537437.0
대림2동,6991,4094,1602,770,386,98,41,5.0,0.0,2.0,5092,69.0,15.774,17,0.5721,1,0.28,0.0,0.0,2.0,2049,4876,1.0,23916.0,392,512,1840,2010,1574,1954,1732,1136,564,26,0,366,524,1896,1722,1332,1932,2026,1588,680,102,8,17.0,135118.0,25683759.92,924615357.0
대림3동,10371,4387,2672,1779,1160,296,77,3.0,0.0,4.0,7070,84.0,15.774,17,0.921,5,1.38,0.0,0.0,2.0,3310,10073,0.0,43548.0,938,1296,2998,3374,2812,3816,3796,1862,788,66,2,1004,1216,2692,2844,2682,3968,3898,2234,1104,150,8,40.0,222108.0,29218417.35,4645728358.0
대방동,16687,7578,3218,2743,2472,521,155,0.0,1.0,2.0,9604,1.4,15.774,17,1.5438,3,27.26,2.0,2.0,3.0,2475,12300,3.0,71572.0,1776,3478,5604,4786,5412,5650,3864,2110,936,120,4,1596,3782,6666,4996,5994,5698,4466,2898,1472,254,10,39.0,534581.0,56881172.4,11660640343.0
대조동,15327,8543,3499,1758,1195,252,80,9.0,1.0,0.0,6713,82.0,13.483,2,0.8511,4,0.56,0.0,0.0,2.0,3363,7968,4.0,54576.0,994,1372,4086,4684,3628,4048,3350,1996,1036,64,2,832,1590,6096,4678,3606,4298,3986,2704,1382,138,6,73.0,556451.0,77662772.41,21512587958.0
대치1동,7259,570,1100,2071,2816,548,154,3.0,0.0,2.0,6859,83.0,16.56,23,0.8092,8,7.27,0.0,0.0,1.0,1406,7459,2.0,23784.0,824,2968,1173,552,2263,2241,1018,631,229,20,0,707,2353,1080,797,3062,1859,1107,646,205,46,3,27.0,371196.0,91179549.15,9938570857.0
대치2동,13384,2689,2587,3414,3804,701,189,3.0,1.0,1.0,8948,91.0,16.56,23,1.836,3,0.27,0.0,0.0,2.0,5880,70537,4.0,37026.0,1131,3770,2161,1512,2928,3393,2188,1251,354,28,0,947,2547,1889,1782,3957,3166,2301,1293,340,84,4,87.0,619306.0,113448600.8,51619113354.0
대치4동,9957,5558,1722,1241,1113,245,78,2.0,0.0,1.0,3578,54.0,16.56,23,0.7005,2,0.47,0.0,0.0,1.0,5882,37270,7.0,18862.0,302,1249,1482,1462,1501,1651,716,405,193,11,0,296,1020,1585,1620,2023,1696,860,562,193,34,1,124.0,419553.0,49993760.97,28546437514.0
대학동,17638,13746,1981,1069,652,150,40,0.0,0.0,1.0,3922,58.0,14.245,8,8.399,7,0.15,0.0,0.0,1.0,2179,14916,5.0,49120.0,570,980,7872,6960,4626,4276,2724,1308,590,38,2,498,946,5278,3216,2294,2280,2362,1456,738,104,2,80.0,481675.0,36056018.06,12908054465.0
대흥동,8775,5737,1407,815,656,127,33,2.0,1.0,2.0,2839,47.0,49.545,48,0.8579,2,61.87,0.0,0.0,2.0,1968,9808,2.0,28868.0,582,928,3294,2590,1924,2122,1504,676,378,44,2,560,774,4050,2408,1934,2000,1476,928,604,84,6,68.0,476399.0,39503647.91,3910861143.0
도곡1동,8287,2677,1626,1799,1732,335,118,2.0,1.0,2.0,5481,72.0,13.996,6,1.0498,4,26.89,1.0,1.0,1.0,2616,18547,2.0,20734.0,723,1100,1216,1294,1731,1657,1222,658,223,26,0,747,1307,1298,1524,1971,1672,1341,687,287,48,2,40.0,403512.0,7384573.333,199383480.0
도곡2동,11475,2124,2474,3025,3056,614,182,1.0,1.0,2.0,9424,92.0,13.996,6,0.99,8,27.03,0.0,0.0,1.0,2990,21648,2.0,32567.0,1206,2164,1592,1283,2647,2786,1741,1179,469,47,1,1203,2628,1966,1760,3420,2801,1907,1210,451,103,3,42.0,257868.0,106415449.3,15004578355.0
도림동,9589,5140,2177,1267,767,186,52,1.0,0.0,2.0,5079,69.0,15.774,17,0.5855,2,0.84,0.0,0.0,0.0,1707,3580,0.0,35418.0,868,924,2442,3408,2676,3064,2594,1322,560,44,0,842,752,2712,3126,2278,2744,2458,1572,904,122,6,27.0,182128.0,37253043.98,4097834838.0
