행정동코드,행정동명
1110061,창3동
1110062,창4동
1110063,창5동
1110064,도봉1동
1110065,도봉2동
1111051,월계1동
1111052,월계2동
1111053,월계3동
1111056,공릉2동
1111058,하계1동
1111059,하계2동
1111060,중계본동
1111061,중계1동
1111064,중계4동
1111065,상계1동
1111066,상계2동
1111069,상계5동
1111072,상계8동
1111073,상계9동
1111074,상계10동
1111076,상계3.4동
1111077,상계6.7동
1111078,중계2.3동
1111079,공릉1동
1112051,녹번동
1112052,불광1동
1112055,갈현1동
1112056,갈현2동
1112057,구산동
1112058,대조동
1112059,응암1동
1112060,응암2동
1112065,신사1동
1112066,신사2동
1112067,증산동
1112068,수색동
1112071,진관동
1112072,불광2동
1112073,응암3동
1112074,역촌동
1113052,천연동
1113062,홍제1동
1113064,홍제3동
1113065,홍제2동
1113066,홍은1동
1113068,홍은2동
1113069,남가좌1동
1113070,남가좌2동
1113071,북가좌1동
1113072,북가좌2동
1113073,충현동
1113074,북아현동
1113075,신촌동
1113076,연희동
1114059,용강동
1114060,대흥동
1114061,염리동
1114063,신수동
1114066,서교동
1114068,합정동
1114069,망원1동
1114070,망원2동
1114071,연남동
1114072,성산1동
1114073,성산2동
1114074,상암동
1114075,도화동
1114076,서강동
1114077,공덕동
1114078,아현동
1115051,목1동
1115052,목2동
1115053,목3동
1115054,목4동
1115057,신월1동
1115058,신월2동
1115059,신월3동
1115060,신월4동
1115061,신월5동
1115062,신월6동
1115063,신월7동
1115064,신정1동
1115065,신정2동
1115066,신정3동
1115069,신정6동
1115070,신정7동
1115071,목5동
1115072,신정4동
1116051,염창동
1116052,등촌1동
1116053,등촌2동
1116054,등촌3동
1116055,화곡본동
1116057,화곡2동
1116058,화곡3동
1116059,화곡4동
1116061,화곡6동
1116063,화곡8동
1116064,가양1동
1116065,가양2동
1116066,가양3동
1116067,발산1동
1116069,공항동
1116070,방화1동
1116071,방화2동
1116072,방화3동
1116073,화곡1동
1116074,우장산동
1117051,신도림동
1117052,구로1동
1117054,구로3동
1117055,구로4동
1117056,구로5동
1117061,고척1동
1117062,고척2동
1117064,개봉2동
1117065,개봉3동
1117067,오류1동
1117069,수궁동
1117070,가리봉동
1117071,구로2동
1117072,개봉1동
1117073,오류2동
1117074,항동
1118051,가산동
1118052,독산1동
1118053,독산2동
1118054,독산3동
1118055,독산4동
1118057,시흥1동
1118058,시흥2동
1118059,시흥3동
1118060,시흥4동
1118061,시흥5동
1119054,여의동
1119055,당산1동
1119056,당산2동
1119061,양평1동
1119062,양평2동
1119063,신길1동
1119065,신길3동
1119066,신길4동
1119067,신길5동
1119068,신길6동
1119069,신길7동
1119070,대림1동
1119071,대림2동
1119072,대림3동
1119073,영등포본동
1119074,영등포동
1119075,도림동
1119076,문래동
1120052,노량진2동
1120053,상도1동
1120054,상도2동
1120055,상도3동
1120056,상도4동
1120063,사당1동
1120065,사당3동
1120066,사당4동
1120067,사당5동
1120068,대방동
1120069,신대방1동
1120070,신대방2동
1120071,흑석동
1120072,노량진1동
1120073,사당2동
1121052,보라매동
1121054,청림동
1121057,행운동
1121058,낙성대동
1121061,중앙동
1121062,인헌동
1121063,남현동
1121064,서원동
1121065,신원동
1121066,서림동
1121068,신사동(관악구)
1121069,신림동
1121071,난향동
1121072,조원동
1121073,대학동
1121078,은천동
1121079,성현동
1121080,청룡동
1121081,난곡동
1121082,삼성동
1121083,미성동
1122051,서초1동
1122052,서초2동
1122053,서초3동
1122054,서초4동
1122055,잠원동
1122056,반포본동
1122057,반포1동
1122058,반포2동
1122059,반포3동
1122060,반포4동
1122061,방배본동
1122062,방배1동
1122063,방배2동
1122064,방배3동
1122065,방배4동
1122066,양재1동
1122067,양재2동
1122068,내곡동
1123051,신사동(강남구)
1123052,논현1동
1123053,논현2동
1123058,삼성1동
1123059,삼성2동
1123060,대치1동
1123063,대치4동
1123064,역삼1동
1123065,역삼2동
1123066,도곡1동
1123067,도곡2동
1123068,개포1동
1123071,개포4동
1123072,일원본동
1123073,일원1동
1123081,개포3동
1123075,수서동
1123076,세곡동
1123077,압구정동
1123078,청담동
1123079,대치2동
1123080,개포2동
1124051,풍납1동
1124052,풍납2동
1124053,거여1동
1124054,거여2동
1124055,마천1동
1124056,마천2동
1124057,방이1동
1124058,방이2동
1124059,오륜동
1124060,오금동
1124061,송파1동
1124062,송파2동
1124063,석촌동
1124064,삼전동
1124065,가락본동
1124066,가락1동
1124067,가락2동
1124068,문정1동
1124069,문정2동
1124081,장지동
1124082,위례동
1124071,잠실본동
1124075,잠실4동
1124077,잠실6동
1124078,잠실7동
1124079,잠실2동
1124080,잠실3동
1125075,강일동
1125076,상일1동
1125077,상일2동
1125053,명일1동
1125054,명일2동
1125055,고덕1동
1125056,고덕2동
1125058,암사2동
1125059,암사3동
1125061,천호1동
1125063,천호3동
1125065,성내1동
1125066,성내2동
1125067,성내3동
1125070,둔촌1동
1125071,둔촌2동
1125072,암사1동
1125073,천호2동
1125074,길동
