,행정동코드8,시도명,시군구명,행정동명
336,11620735,서울특별시,관악구,대학동
337,11620745,서울특별시,관악구,삼성동
338,11620765,서울특별시,관악구,미성동
339,11620775,서울특별시,관악구,난곡동
340,11650510,서울특별시,서초구,서초1동
341,11650520,서울특별시,서초구,서초2동
342,11650530,서울특별시,서초구,서초3동
343,11650531,서울특별시,서초구,서초4동
344,11650540,서울특별시,서초구,잠원동
345,11650550,서울특별시,서초구,반포본동
346,11650560,서울특별시,서초구,반포1동
347,11650570,서울특별시,서초구,반포2동
348,11650580,서울특별시,서초구,반포3동
349,11650581,서울특별시,서초구,반포4동
350,11650590,서울특별시,서초구,방배본동
351,11650600,서울특별시,서초구,방배1동
352,11650610,서울특별시,서초구,방배2동
353,11650620,서울특별시,서초구,방배3동
354,11650621,서울특별시,서초구,방배4동
355,11650651,서울특별시,서초구,양재1동
356,11650652,서울특별시,서초구,양재2동
357,11650660,서울특별시,서초구,내곡동
358,11680510,서울특별시,강남구,신사동
359,11680521,서울특별시,강남구,논현1동
360,11680531,서울특별시,강남구,논현2동
361,11680545,서울특별시,강남구,압구정동
362,11680565,서울특별시,강남구,청담동
363,11680580,서울특별시,강남구,삼성1동
364,11680590,서울특별시,강남구,삼성2동
365,11680600,서울특별시,강남구,대치1동
366,11680610,서울특별시,강남구,대치2동
367,11680630,서울특별시,강남구,대치4동
368,11680640,서울특별시,강남구,역삼1동
369,11680650,서울특별시,강남구,역삼2동
370,11680655,서울특별시,강남구,도곡1동
371,11680656,서울특별시,강남구,도곡2동
372,11680660,서울특별시,강남구,개포1동
373,11680670,서울특별시,강남구,개포2동
374,11680675,서울특별시,강남구,개포3동
375,11680690,서울특별시,강남구,개포4동
376,11680700,서울특별시,강남구,세곡동
377,11680720,서울특별시,강남구,일원본동
378,11680730,서울특별시,강남구,일원1동
379,11680750,서울특별시,강남구,수서동
380,11710510,서울특별시,송파구,풍납1동
381,11710520,서울특별시,송파구,풍납2동
382,11710531,서울특별시,송파구,거여1동
383,11710532,서울특별시,송파구,거여2동
384,11710540,서울특별시,송파구,마천1동
385,11710550,서울특별시,송파구,마천2동
386,11710561,서울특별시,송파구,방이1동
387,11710562,서울특별시,송파구,방이2동
388,11710566,서울특별시,송파구,오륜동
389,11710570,서울특별시,송파구,오금동
390,11710580,서울특별시,송파구,송파1동
391,11710590,서울특별시,송파구,송파2동
392,11710600,서울특별시,송파구,석촌동
