"adzn_id","adzn_nm","adzn_area","park_cnt","park_rt"
"1165058000","반포3동",1.2508,5,0.92
"1165058100","반포4동",1.4261,3,0.59
"1165059000","방배본동",0.677,1,0.15
"1165060000","방배1동",0.6887,1,0.17
"1165061000","방배2동",1.9026,6,32.77
"1165062000","방배3동",2.3734,7,9.94
"1165062100","방배4동",0.9488,2,0.72
"1165065100","양재1동",5.761,26,82.66
"1165065200","양재2동",7.5565,19,5.57
"1165066000","내곡동",12.6991,14,40.69
"1168051000","신사동",2.0577,8,1.42
"1168052100","논현1동",1.2578,2,2.51
"1168053100","논현2동",1.4574,6,0.54
"1168054500","압구정동",2.3433,3,1.69
"1168056500","청담동",2.3274,5,3.51
"1168058000","삼성1동",1.9432,3,17.05
"1168059000","삼성2동",1.2413,1,0.1
"1168060000","대치1동",0.8092,8,7.27
"1168061000","대치2동",1.836,3,0.27
"1168063000","대치4동",0.7005,2,0.47
"1168064000","역삼1동",2.3603,6,2.37
"1168065000","역삼2동",1.1342,9,0.88
"1168065500","도곡1동",1.0498,4,26.89
"1168065600","도곡2동",0.99,8,27.03
"1168066000","개포1동",1.4488,0,0
"1168067000","개포2동",2.2416,12,6
"1168069000","개포4동",1.6642,1,0.1
"1168070000","세곡동",6.3628,22,8.41
"1168072000","일원본동",2.3528,8,121
"1168073000","일원1동",0.9528,1,1.48
"1168074000","일원2동",1.2993,4,2.16
"1168075000","수서동",1.6281,4,0.88
"1171051000","풍납1동",1.0745,2,2.23
"1171052000","풍납2동",2.5626,3,0.28
"1171053100","거여1동",0.5697,7,11.2
"1171053200","거여2동",0.6124,6,2.81
"1171054000","마천1동",0.5748,11,9.99
"1171055000","마천2동",0.89,7,23.53
"1171056100","방이1동",0.6088,4,5.72
"1171056200","방이2동",0.7692,6,1.91
"1171056600","오륜동",3.0827,1,46.94
"1171057000","오금동",1.6475,15,20.93
"1171058000","송파1동",0.6864,6,2.74
"1171059000","송파2동",0.6305,5,3.27
"1171060000","석촌동",0.9462,5,5.53
"1171061000","삼전동",0.9526,7,18.52
"1171062000","가락본동",1.014,9,5.84
"1171063100","가락1동",1.3921,2,1.49
"1171063200","가락2동",0.9316,9,66.31
"1171064100","문정1동",0.612,4,4.69
"1171064200","문정2동",2.2403,10,5.88
"1171064600","장지동",1.2774,12,7.17
"1171064700","위례동",2.4876,5,9.73
"1171065000","잠실본동",1.0282,6,1.41
"1171067000","잠실2동",2.6848,2,0.92
"1171068000","잠실3동",1.5414,4,2.19
"1171069000","잠실4동",0,0,0
"1171071000","잠실6동",1.5068,4,20.39
"1171072000","잠실7동",0.7229,1,9.13
"1174051500","강일동",3.6447,8,5.71
"1174052000","상일동",1.8122,9,73.05
"1174053000","명일제1동",0.6345,8,6.76
"1174054000","명일제2동",0.9136,2,0.44
"1174055000","고덕제1동",1.5173,5,2.82
"1174056000","고덕제2동",2.205,7,12.12
