학교명,주소,행정동,위도,경도
서울성일초등학교,서울특별시 강동구 성내로15길 33,성내1동,37.5279455,127.1284946
서울성내초등학교,서울특별시 강동구 성내로3길 19,성내1동,37.5313813,127.1234485
서울선사초등학교,서울특별시 강동구 올림픽로 837,암사2동,37.5420017,127.1246024
서울선린초등학교,서울특별시 강동구 진황도로61길 29,둔촌2동,37.5288333,127.1448698
서울석촌초등학교,서울특별시 송파구 가락로11길 26,석촌동,37.5024724,127.1040045
서울상일초등학교,서울특별시 강동구 천호대로 1477,상일1동,37.533424,127.1398693
서울삼전초등학교,서울특별시 송파구 백제고분로28길 19,삼전동,37.5022617,127.0920834
서울버들초등학교,서울특별시 송파구 석촌호수로 81,잠실3동,37.5085206,127.0873192
서울방이초등학교,서울특별시 송파구 위례성대로10길 4,방이1동,37.5110319,127.1201762
서울방산초등학교,서울특별시 송파구 오금로27길 42,방이1동,37.50937285,127.1209555
서울문현초등학교,서울특별시 송파구 충민로 137,장지동,37.4795944,127.1265835
서울문정초등학교,서울특별시 송파구 문정로5길 20,문정1동,37.4883354,127.1281176
서울문덕초등학교,서울특별시 송파구 송이로34길 60,장지동,37.4851203,127.1298992
서울묘곡초등학교,서울특별시 강동구 동남로79길 46,고덕1동,37.5575905,127.1542149
서울명일초등학교,서울특별시 강동구 고덕로38길 8,암사1동,37.55259895,127.1430798
서울명원초등학교,서울특별시 강동구 명일로 364,명일2동,37.5366605,127.1457739
서울명덕초등학교,서울특별시 강동구 양재대로156길 11,고덕1동,37.55691115,127.1454677
서울마천초등학교,서울특별시 송파구 마천로61다길 24,마천1동,37.4940401,127.1527489
서울둔촌초등학교,서울특별시 강동구 양재대로88길 27,둔촌1동,37.5255904,127.1354174
서울대명초등학교,서울특별시 강동구 상암로 271,명일2동,37.5480509,127.1323866
서울남천초등학교,서울특별시 송파구 성내천로 207,마천2동,37.5009625,127.1509178
서울길동초등학교,서울특별시 강동구 양재대로116길 69,길동,37.5380392,127.1433706
서울고일초등학교,서울특별시 강동구 구천면로93길 20,상일1동,37.5516069,127.1682485
서울고명초등학교,서울특별시 강동구 고덕로46길 53,명일1동,37.5521734,127.1461969
서울고덕초등학교,서울특별시 강동구 아리수로82길 42,고덕2동,37.5619875,127.1674868
서울거원초등학교,서울특별시 송파구 양산로2길 26,거여2동,37.4884261,127.1443866
서울거여초등학교,서울특별시 송파구 마천로25길 18,오금동,37.5080025,127.1403446
서울개롱초등학교,서울특별시 송파구 문정로 211,오금동,37.49709015,127.1397151
서울강일초등학교,서울특별시 강동구 아리수로98길 24,강일동,37.5650179,127.1772487
서울강명초등학교,서울특별시 강동구 상일로 74-1,상일2동,37.561994,127.1704878
서울강동초등학교,서울특별시 강동구 상암로14길 77,천호2동,37.5490696,127.12996
서울강덕초등학교,서울특별시 강동구 동남로82길 94-54,고덕2동,37.5609074,127.1577464
서울가주초등학교,서울특별시 송파구 오금로40길 37,가락2동,37.4966169,127.1271375
서울가원초등학교,서울특별시 송파구 중대로4길 8,문정2동,37.4884844,127.112549
서울가락초등학교,서울특별시 송파구 송파대로37길 45,가락1동,37.4998242,127.1078504
서울가동초등학교,서울특별시 송파구 중대로20길 47,가락2동,37.4975793,127.1271081
우촌초등학교,서울특별시 성북구 성북로4길 52-1,돈암2동,37.5955566,127.0116847
영훈초등학교,서울특별시 강북구 도봉로13가길 19,송천동,37.6147398,127.0293074
성신초등학교,서울특별시 성북구 북악산로 918,동선동,37.5976448,127.0219412
매원초등학교,서울특별시 성북구 북악산로 870,돈암1동,37.5976448,127.0219412
대광초등학교,서울특별시 성북구 안암로 5,보문동,37.5848978,127.0315165
광운초등학교,서울특별시 성북구 한천로 694,장위3동,37.6072196,127.0673209
서울화계초등학교,서울특별시 강북구 솔매로50가길 25,송중동,37.6234445,127.0294881
서울청덕초등학교,서울특별시 성북구 정릉로9라길 11,정릉3동,0,0
서울정수초등학교,서울특별시 성북구 정릉로24길 58,정릉2동,37.6042913,127.0073957
서울정릉초등학교,서울특별시 성북구 솔샘로25가길 8,정릉4동,37.6202712,127.0043296
서울정덕초등학교,서울특별시 성북구 아리랑로 63,동선동,37.5962462,127.0154874
서울장위초등학교,서울특별시 성북구 장월로8가길 41,장위2동,37.6112621,127.0493531
서울장월초등학교,서울특별시 성북구 한천로101길 66,장위3동,37.6223144,127.0486905
서울장곡초등학교,서울특별시 성북구 장월로23길 16,장위1동,37.6169994,127.0463069
서울일신초등학교,서울특별시 성북구 월곡로 74,종암동,37.5988145,127.040194
서울인수초등학교,서울특별시 강북구 인수봉로 269,인수동,37.6335413,127.0140166
서울유현초등학교,서울특별시 강북구 인수봉로37길 24,수유1동,37.6316182,127.0128254
서울월곡초등학교,서울특별시 성북구 장월로3길 42,장위2동,37.6101914,127.0455002
서울우이초등학교,서울특별시 강북구 삼양로99길 36,인수동,37.6389763,127.0163811
서울오현초등학교,서울특별시 강북구 월계로 221,번3동,37.6165492,127.0409901
서울안암초등학교,서울특별시 성북구 고려대로7가길 39,안암동,37.5868807,127.0234726
서울숭인초등학교,서울특별시 성북구 오패산로16길 37,월곡1동,37.6085799,127.037837
서울숭례초등학교,서울특별시 성북구 종암로5길 14,종암동,37.5924526,127.0322095
서울숭덕초등학교,서울특별시 성북구 정릉로 279,정릉2동,37.604387,127.0139798
서울숭곡초등학교,서울특별시 성북구 종암로40길 30,월곡1동,37.6093804,127.0317119
서울수유초등학교,서울특별시 강북구 삼양로74길 39,수유1동,37.6300784,127.0192044
서울수송초등학교,서울특별시 강북구 한천로124길 14,번1동,37.637639,127.032948
서울송천초등학교,서울특별시 강북구 삼양로20길 29,송천동,37.6145036,127.0237471
서울송중초등학교,서울특별시 강북구 오현로 9,송중동,37.6295518,127.0394819
서울성북초등학교,서울특별시 성북구 성북로 102-10,성북동,37.5925584,127.0024403
서울석관초등학교,서울특별시 성북구 돌곶이로22길 21,석관동,37.6102079,127.0594029
서울석계초등학교,서울특별시 성북구 한천로58길 273,석관동,37.6136621,127.0660709
서울삼양초등학교,서울특별시 강북구 삼양로49길 17,삼양동,37.6234354,127.0182432
서울삼선초등학교,서울특별시 성북구 보문로29길 106,삼선동,37.5874895,127.0152947
서울삼각산초등학교,서울특별시 강북구 삼양로19길 141,삼각산동,37.6166184,127.0176922
서울번동초등학교,서울특별시 강북구 오현로 204,번3동,37.6295518,127.0394819
서울미양초등학교,서울특별시 강북구 솔샘로 195,삼양동,37.6214025,127.0152535
서울미아초등학교,서울특별시 성북구 삼양로 77,길음1동,37.6042765,127.0251374
서울동신초등학교,서울특별시 성북구 보문사길 50,보문동,37.5848909,127.0165758
