호선,역명,승하차인원,도로명주소,행정동,위도,경도
3호선,무악재,7888.193548,서울특별시 서대문구 통일로 지하361,홍제2동,37.58238415,126.9503221
3호선,불광,31339.93548,서울특별시 은평구 통일로 지하723-1,대조동,37.61020726,126.9299858
3호선,수서,34140.87097,서울특별시 강남구 광평로 지하270,수서동,37.48738899,127.1018592
3호선,신사,51845.74194,서울특별시 강남구 도산대로 지하102,논현1동,37.51643246,127.0203269
3호선,안국,46805.09677,서울특별시 종로구 율곡로 지하62,종로1.2.3.4가동,37.57672037,126.985823
3호선,압구정,59524.64516,서울특별시 강남구 압구정로 지하172,신사동(강남구),37.52643082,127.0284809
3호선,약수,23480.16129,서울특별시 중구 다산로 지하122,약수동,37.55455956,127.0108225
3호선,양재,66469.54839,서울특별시 서초구 남부순환로 지하2585,양재1동,37.48393473,127.0345442
3호선,연신내,62203.51613,서울특별시 은평구 통일로 지하849,불광2동,37.618962,126.9211621
3호선,오금,11130.09677,서울특별시 송파구 오금로 지하321,오금동,37.50226598,127.1278792
3호선,옥수,16313.58065,서울특별시 성동구 동호로 21,옥수동,37.54098777,127.0189654
3호선,을지로3가,20922.45161,서울특별시 중구 을지로 지하129,을지로동,37.56627504,126.99265
3호선,일원,19222.54839,서울특별시 강남구 일원로 지하121,일원본동,37.48407358,127.0844518
3호선,잠원,8712.741935,서울특별시 서초구 잠원로4길 지하46,잠원동,37.51279911,127.0112202
3호선,종로3가,20480.0,서울특별시 종로구 돈화문로 지하30,종로1.2.3.4가동,37.57114028,126.9919944
3호선,충무로,3.4,서울특별시 중구 퇴계로 지하214,필동,37.5612891,126.9942074
3호선,학여울,5286.0,서울특별시 강남구 남부순환로 지하3104,대치2동,37.49671719,127.071719
3호선,홍제,31394.03226,서울특별시 서대문구 통일로 지하440-1,홍제3동,37.58871037,126.9442423
4호선,길음,36823.93548,서울특별시 성북구 동소문로 지하248,길음1동,37.60318391,127.0248232
4호선,남태령,2442.580645,서울특별시 서초구 과천대로 지하816,방배2동,37.46485756,126.9886565
4호선,노원,37351.06452,서울특별시 노원구 상계로 69-1,상계2동,37.65626778,127.0630304
4호선,당고개,16731.29032,서울특별시 노원구 상계로 305,상계3.4동,37.67029264,127.0790112
4호선,동대문,35180.35484,서울특별시 종로구 율곡로 지하308,종로5.6가동,37.57041171,127.0095466
4호선,동대문역사문화공원,32387.32258,서울특별시 중구 장충단로 지하230,광희동,37.56507877,127.0075507
4호선,동작,2499.129032,서울특별시 동작구 현충로 257,사당2동,37.50287037,126.9802684
4호선,명동,61429.32258,서울특별시 중구 퇴계로 지하126,명동,37.56091008,126.985947
4호선,미아,26861.67742,서울특별시 강북구 도봉로 지하198,미아동,37.62644364,127.0261034
4호선,미아사거리,48175.22581,서울특별시 강북구 도봉로 지하50,송중동,37.61328611,127.0300984
4호선,사당,45117.80645,서울특별시 동작구  동작대로 지하3,사당1동,37.47686327,126.9815951
4호선,삼각지,12013.54839,서울특별시 용산구 한강대로 지하180,한강로동,37.53459371,126.973011
4호선,상계,33851.25806,서울특별시 노원구 상계로 182,상계5동,37.66090389,127.0735754
4호선,서울역,30975.16129,서울특별시 용산구 한강대로 지하392,남영동,37.55320002,126.9728055
4호선,성신여대입구,36574.03226,서울특별시 성북구 동소문로 지하102,삼선동,37.59271793,127.0164776
4호선,수유,62048.93548,서울특별시 강북구 도봉로 지하338,수유3동,37.63774523,127.0253569
4호선,숙대입구,24800.54839,서울특별시 용산구 한강대로 지하306,남영동,37.54519398,126.9718724
4호선,신용산,36877.03226,서울특별시 용산구 한강대로 지하112,한강로동,37.52961556,126.9682159
4호선,쌍문,50509.0,서울특별시 도봉구 도봉로 지하 486-1,창1동,37.64884986,127.0348807
