`STD_YM`,`ADMI_CD`,`ADMI_NM`,`SEXDSTN_CD`,`AGRDE_CD`,`RSPOP_CNT`,`CTY_NM`
`202306`,`11545710`,`시흥5동`,`1`,`0004`,`356`,`금천구`
`202306`,`11710510`,`풍납1동`,`1`,`0004`,`324`,`송파구`
`202306`,`11170640`,`이촌2동`,`1`,`0004`,`236`,`용산구`
`202306`,`11410585`,`신촌동`,`1`,`0004`,`308`,`서대문구`
`202306`,`11470550`,`목5동`,`1`,`0004`,`754`,`양천구`
`202306`,`11380552`,`갈현2동`,`1`,`0004`,`448`,`은평구`
`202306`,`11140580`,`장충동`,`1`,`0004`,`60`,`중구`
`202306`,`11215750`,`중곡2동`,`1`,`0004`,`334`,`광진구`
`202306`,`11410620`,`홍제1동`,`1`,`0004`,`654`,`서대문구`
`202306`,`11710600`,`석촌동`,`1`,`0004`,`640`,`송파구`
`202306`,`11170570`,`원효로2동`,`1`,`0004`,`312`,`용산구`
`202306`,`11290715`,`월곡1동`,`1`,`0004`,`676`,`성북구`
`202306`,`11620765`,`미성동`,`1`,`0004`,`570`,`관악구`
`202306`,`11140605`,`을지로동`,`1`,`0004`,`80`,`중구`
`202306`,`11200615`,`금호2.3가동`,`1`,`0004`,`846`,`성동구`
`202306`,`11200650`,`성수1가1동`,`1`,`0004`,`458`,`성동구`
`202306`,`11470580`,`신월3동`,`1`,`0004`,`362`,`양천구`
`202306`,`11170650`,`이태원1동`,`1`,`0004`,`88`,`용산구`
`202306`,`11710641`,`문정1동`,`1`,`0004`,`532`,`송파구`
`202306`,`11305608`,`번3동`,`1`,`0004`,`286`,`강북구`
`202306`,`11140650`,`신당5동`,`1`,`0004`,`220`,`중구`
`202306`,`11305555`,`송천동`,`1`,`0004`,`334`,`강북구`
`202306`,`11410615`,`연희동`,`1`,`0004`,`538`,`서대문구`
`202306`,`11320680`,`쌍문3동`,`1`,`0004`,`304`,`도봉구`
`202306`,`11200720`,`송정동`,`1`,`0004`,`220`,`성동구`
`202306`,`11560650`,`신길3동`,`1`,`0004`,`474`,`영등포구`
`202306`,`11710631`,`가락1동`,`1`,`0004`,`1398`,`송파구`
`202306`,`11230705`,`청량리동`,`1`,`0004`,`258`,`동대문구`
`202306`,`11620545`,`청림동`,`1`,`0004`,`538`,`관악구`
`202306`,`11740540`,`명일2동`,`1`,`0004`,`318`,`강동구`
`202306`,`11380632`,`신사2동`,`1`,`0004`,`408`,`은평구`
`202306`,`11110560`,`평창동`,`1`,`0004`,`434`,`종로구`
`202306`,`11350710`,`상계9동`,`1`,`0004`,`466`,`노원구`
`202306`,`11470680`,`신정7동`,`1`,`0004`,`574`,`양천구`
`202306`,`11350560`,`월계1동`,`1`,`0004`,`460`,`노원구`
`202306`,`11500540`,`화곡1동`,`1`,`0004`,`1044`,`강서구`
`202306`,`11170530`,`남영동`,`1`,`0004`,`44`,`용산구`
`202306`,`11620595`,`청룡동`,`1`,`0004`,`520`,`관악구`
`202306`,`11650530`,`서초3동`,`1`,`0004`,`676`,`서초구`
`202306`,`11170625`,`한강로동`,`1`,`0004`,`718`,`용산구`
`202306`,`11350640`,`상계2동`,`1`,`0004`,`280`,`노원구`
`202306`,`11680630`,`대치4동`,`1`,`0004`,`218`,`강남구`
`202306`,`11320513`,`창3동`,`1`,`0004`,`198`,`도봉구`
`202306`,`11320681`,`쌍문4동`,`1`,`0004`,`394`,`도봉구`
`202306`,`11200620`,`금호4가동`,`1`,`0004`,`634`,`성동구`
`202306`,`11380600`,`응암3동`,`1`,`0004`,`336`,`은평구`
`202306`,`11305660`,`인수동`,`1`,`0004`,`456`,`강북구`
`202306`,`11260540`,`면목4동`,`1`,`0004`,`394`,`중랑구`
`202306`,`11110540`,`삼청동`,`1`,`0004`,`28`,`종로구`
`202306`,`11440590`,`용강동`,`1`,`0004`,`700`,`마포구`
`202306`,`11560610`,`양평1동`,`1`,`0004`,`668`,`영등포구`
`202306`,`11560720`,`대림3동`,`1`,`0004`,`478`,`영등포구`
`202306`,`11470670`,`신정6동`,`1`,`0004`,`566`,`양천구`
`202306`,`11680700`,`세곡동`,`1`,`0004`,`1288`,`강남구`
`202306`,`11305625`,`수유2동`,`1`,`0004`,`390`,`강북구`
`202306`,`11620645`,`서원동`,`1`,`0004`,`232`,`관악구`
`202306`,`11350630`,`상계1동`,`1`,`0004`,`778`,`노원구`
`202306`,`11290580`,`돈암1동`,`1`,`0004`,`338`,`성북구`
`202306`,`11110580`,`교남동`,`1`,`0004`,`308`,`종로구`
`202306`,`11230600`,`답십리1동`,`1`,`0004`,`1032`,`동대문구`
`202306`,`11290780`,`장위3동`,`1`,`0004`,`718`,`성북구`
`202306`,`11545690`,`시흥3동`,`1`,`0004`,`182`,`금천구`
`202306`,`11590540`,`상도2동`,`1`,`0004`,`1032`,`동작구`
`202306`,`11590560`,`상도4동`,`1`,`0004`,`574`,`동작구`
`202306`,`11170690`,`서빙고동`,`1`,`0004`,`292`,`용산구`
`202306`,`11350624`,`중계4동`,`1`,`0004`,`284`,`노원구`
`202306`,`11200535`,`왕십리도선동`,`1`,`0004`,`916`,`성동구`
`202306`,`11545610`,`독산1동`,`1`,`0004`,`1516`,`금천구`
`202306`,`11620575`,`행운동`,`1`,`0004`,`408`,`관악구`
`202306`,`11680600`,`대치1동`,`1`,`0004`,`308`,`강남구`
`202306`,`11710580`,`송파1동`,`1`,`0004`,`444`,`송파구`
`202306`,`11110570`,`무악동`,`1`,`0004`,`194`,`종로구`
`202306`,`11170660`,`이태원2동`,`1`,`0004`,`142`,`용산구`
`202306`,`11740620`,`천호3동`,`1`,`0004`,`602`,`강동구`
`202306`,`11170520`,`용산2가동`,`1`,`0004`,`110`,`용산구`
`202306`,`11260550`,`면목5동`,`1`,`0004`,`622`,`중랑구`
`202306`,`11470600`,`신월5동`,`1`,`0004`,`352`,`양천구`
`202306`,`11110650`,`혜화동`,`1`,`0004`,`204`,`종로구`
`202306`,`11215730`,`군자동`,`1`,`0004`,`308`,`광진구`
`202306`,`11215820`,`자양1동`,`1`,`0004`,`304`,`광진구`
`202306`,`11470610`,`신월6동`,`1`,`0004`,`642`,`양천구`
`202306`,`11560700`,`대림1동`,`1`,`0004`,`356`,`영등포구`
`202306`,`11650531`,`서초4동`,`1`,`0004`,`780`,`서초구`
`202306`,`11710540`,`마천1동`,`1`,`0004`,`328`,`송파구`
`202306`,`11740690`,`둔촌1동`,`1`,`0004`,`0`,`강동구`
`202306`,`11260630`,`묵2동`,`1`,`0004`,`418`,`중랑구`
`202306`,`11305645`,`우이동`,`1`,`0004`,`342`,`강북구`
`202306`,`11545630`,`독산3동`,`1`,`0004`,`358`,`금천구`
`202306`,`11500590`,`화곡본동`,`1`,`0004`,`704`,`강서구`
`202306`,`11680610`,`대치2동`,`1`,`0004`,`678`,`강남구`
`202306`,`11200520`,`왕십리2동`,`1`,`0004`,`572`,`성동구`
`202306`,`11590680`,`신대방2동`,`1`,`0004`,`634`,`동작구`
`202306`,`11710550`,`마천2동`,`1`,`0004`,`260`,`송파구`
`202306`,`11140590`,`광희동`,`1`,`0004`,`56`,`중구`
`202306`,`11215740`,`중곡1동`,`1`,`0004`,`276`,`광진구`
`202306`,`11560620`,`양평2동`,`1`,`0004`,`760`,`영등포구`
`202306`,`11440600`,`대흥동`,`1`,`0004`,`250`,`마포구`
`202306`,`11710642`,`문정2동`,`1`,`0004`,`644`,`송파구`
`202306`,`11230730`,`휘경2동`,`1`,`0004`,`398`,`동대문구`
`202306`,`11470590`,`신월4동`,`1`,`0004`,`416`,`양천구`
`202306`,`11680690`,`개포4동`,`1`,`0004`,`730`,`강남구`
`202306`,`11290760`,`장위1동`,`1`,`0004`,`634`,`성북구`
`202306`,`11680650`,`역삼2동`,`1`,`0004`,`722`,`강남구`
`202306`,`11590605`,`흑석동`,`1`,`0004`,`938`,`동작구`
`202306`,`11140540`,`회현동`,`1`,`0004`,`76`,`중구`
`202306`,`11140680`,`중림동`,`1`,`0004`,`466`,`중구`
`202306`,`11110630`,`종로5.6가동`,`1`,`0004`,`50`,`종로구`
`202306`,`11620745`,`삼성동`,`1`,`0004`,`274`,`관악구`
`202306`,`11500560`,`화곡3동`,`1`,`0004`,`424`,`강서구`
`202306`,`11200560`,`행당1동`,`1`,`0004`,`426`,`성동구`
`202306`,`11140520`,`소공동`,`1`,`0004`,`72`,`중구`
`202306`,`11590651`,`사당5동`,`1`,`0004`,`440`,`동작구`
`202306`,`11170685`,`한남동`,`1`,`0004`,`566`,`용산구`
`202306`,`11590630`,`사당2동`,`1`,`0004`,`846`,`동작구`
`202306`,`11230740`,`이문1동`,`1`,`0004`,`202`,`동대문구`
`202306`,`11290770`,`장위2동`,`1`,`0004`,`266`,`성북구`
`202306`,`11545640`,`독산4동`,`1`,`0004`,`274`,`금천구`
`202306`,`11500615`,`우장산동`,`1`,`0004`,`1070`,`강서구`
`202306`,`11650652`,`양재2동`,`1`,`0004`,`534`,`서초구`
`202306`,`11260580`,`상봉1동`,`1`,`0004`,`680`,`중랑구`
`202306`,`11320514`,`창4동`,`1`,`0004`,`608`,`도봉구`
`202306`,`11350612`,`하계2동`,`1`,`0004`,`460`,`노원구`
`202306`,`11470611`,`신월7동`,`1`,`0004`,`414`,`양천구`
`202306`,`11710561`,`방이1동`,`1`,`0004`,`326`,`송파구`
`202306`,`11740600`,`천호1동`,`1`,`0004`,`584`,`강동구`
`202306`,`11440660`,`서교동`,`1`,`0004`,`286`,`마포구`
`202306`,`11590650`,`사당4동`,`1`,`0004`,`296`,`동작구`
`202306`,`11710632`,`가락2동`,`1`,`0004`,`772`,`송파구`
`202306`,`11350625`,`중계2.3동`,`1`,`0004`,`656`,`노원구`
`202306`,`11545700`,`시흥4동`,`1`,`0004`,`330`,`금천구`
`202306`,`11440630`,`신수동`,`1`,`0004`,`692`,`마포구`
`202306`,`11140670`,`황학동`,`1`,`0004`,`364`,`중구`
`202306`,`11470620`,`신정1동`,`1`,`0004`,`406`,`양천구`
`202306`,`11140615`,`신당동`,`1`,`0004`,`110`,`중구`
`202306`,`11650510`,`서초1동`,`1`,`0004`,`498`,`서초구`
`202306`,`11440610`,`염리동`,`1`,`0004`,`508`,`마포구`
`202306`,`11500630`,`방화1동`,`1`,`0004`,`1302`,`강서구`
`202306`,`11110600`,`가회동`,`1`,`0004`,`68`,`종로구`
`202306`,`11290590`,`돈암2동`,`1`,`0004`,`648`,`성북구`
`202306`,`11500641`,`방화3동`,`1`,`0004`,`552`,`강서구`
`202306`,`11350665`,`상계3.4동`,`1`,`0004`,`438`,`노원구`
`202306`,`11140570`,`필동`,`1`,`0004`,`56`,`중구`
`202306`,`11380570`,`대조동`,`1`,`0004`,`406`,`은평구`
`202306`,`11440565`,`공덕동`,`1`,`0004`,`948`,`마포구`
`202306`,`11380690`,`진관동`,`1`,`0004`,`1236`,`은평구`
`202306`,`11620725`,`조원동`,`1`,`0004`,`340`,`관악구`
`202306`,`11320660`,`쌍문1동`,`1`,`0004`,`366`,`도봉구`
`202306`,`11230610`,`답십리2동`,`1`,`0004`,`754`,`동대문구`
`202306`,`11680531`,`논현2동`,`1`,`0004`,`388`,`강남구`
`202306`,`11380551`,`갈현1동`,`1`,`0004`,`234`,`은평구`
`202306`,`11260520`,`면목2동`,`1`,`0004`,`408`,`중랑구`
`202306`,`11290640`,`정릉3동`,`1`,`0004`,`244`,`성북구`
`202306`,`11530560`,`구로5동`,`1`,`0004`,`810`,`구로구`
`202306`,`11620695`,`신림동`,`1`,`0004`,`166`,`관악구`
`202306`,`11200580`,`응봉동`,`1`,`0004`,`456`,`성동구`
`202306`,`11230570`,`전농2동`,`1`,`0004`,`412`,`동대문구`
`202306`,`11545670`,`시흥1동`,`1`,`0004`,`640`,`금천구`
`202306`,`11590670`,`신대방1동`,`1`,`0004`,`546`,`동작구`
`202306`,`11350700`,`상계8동`,`1`,`0004`,`1018`,`노원구`
`202306`,`11680580`,`삼성1동`,`1`,`0004`,`254`,`강남구`
`202306`,`11620775`,`난곡동`,`1`,`0004`,`338`,`관악구`
`202306`,`11620625`,`인헌동`,`1`,`0004`,`446`,`관악구`
`202306`,`11650621`,`방배4동`,`1`,`0004`,`526`,`서초구`
`202306`,`11710620`,`가락본동`,`1`,`0004`,`684`,`송파구`
`202306`,`11440680`,`합정동`,`1`,`0004`,`362`,`마포구`
`202306`,`11680730`,`일원1동`,`1`,`0004`,`248`,`강남구`
`202306`,`11260620`,`묵1동`,`1`,`0004`,`664`,`중랑구`
`202306`,`11305545`,`송중동`,`1`,`0004`,`634`,`강북구`
`202306`,`11320670`,`쌍문2동`,`1`,`0004`,`348`,`도봉구`
`202306`,`11230750`,`이문2동`,`1`,`0004`,`406`,`동대문구`
`202306`,`11560660`,`신길4동`,`1`,`0004`,`376`,`영등포구`
`202306`,`11440720`,`성산1동`,`1`,`0004`,`292`,`마포구`
`202306`,`11305595`,`번1동`,`1`,`0004`,`260`,`강북구`
`202306`,`11320512`,`창2동`,`1`,`0004`,`586`,`도봉구`
`202306`,`11650570`,`반포2동`,`1`,`0004`,`454`,`서초구`
`202306`,`11110640`,`이화동`,`1`,`0004`,`74`,`종로구`
`202306`,`11500520`,`등촌1동`,`1`,`0004`,`708`,`강서구`
`202306`,`11680510`,`신사동`,`1`,`0004`,`358`,`강남구`
`202306`,`11380650`,`수색동`,`1`,`0004`,`502`,`은평구`
`202306`,`11290660`,`길음1동`,`1`,`0004`,`1006`,`성북구`
`202306`,`11590550`,`상도3동`,`1`,`0004`,`400`,`동작구`
`202306`,`11590640`,`사당3동`,`1`,`0004`,`732`,`동작구`
`202306`,`11710710`,`잠실6동`,`1`,`0004`,`434`,`송파구`
`202306`,`11530750`,`개봉2동`,`1`,`0004`,`792`,`구로구`
`202306`,`11740650`,`성내2동`,`1`,`0004`,`460`,`강동구`
`202306`,`11215850`,`구의1동`,`1`,`0004`,`374`,`광진구`
`202306`,`11305615`,`수유1동`,`1`,`0004`,`298`,`강북구`
`202306`,`11410700`,`남가좌2동`,`1`,`0004`,`996`,`서대문구`
`202306`,`11440555`,`아현동`,`1`,`0004`,`1418`,`마포구`
