행정동명,0,1,2,3,4,5,cluster
개포2동,0.2535820117000064,-0.332082200130166,0.2351556146669052,0.0464977426201742,-0.0997761071072224,0.1667653741786604,3
개포3동,-0.3293383722416989,-0.4120750498495425,0.3242270870275521,-0.0896696631525653,-0.1944970251602546,0.2354085099589891,3
개포4동,-0.1808764947664243,-0.2519475053011867,0.0799683693099463,-0.0362594401332042,-0.0986914289591537,-0.108403927777437,3
거여1동,-0.1480408178116692,-0.1636980527413017,-0.0776313066817523,0.0741301344690175,0.0417700992421285,0.1615257249411707,0
거여2동,0.1387889924894227,-0.118572031332013,-0.0754721588790787,0.0128539940691031,-0.0219285507769929,0.079350919163872,0
고덕1동,0.0607180396234132,-0.5544961723696261,0.201624066072087,-0.0709205343609738,-0.0693120071857519,-0.0024936857039787,3
고덕2동,-0.0641664712698885,-0.3439290722832303,0.1689969760051666,0.0443864544288993,-0.0908565552199874,0.0755111411735015,3
고척1동,-0.1708725526010748,-0.1766094858591405,0.0854805707127339,0.051408965562968,-0.0644331047498642,-0.1667190037088083,0
고척2동,-0.1058880964777923,-0.2138338827588329,-0.009559904109109,0.1105925065502396,0.0587623578468242,0.0732133903576484,0
공덕동,0.3086666382001864,0.3063447681923866,-0.0616855628024932,-0.0194160565820682,-0.0499853111106258,-0.0846695305272935,2
공릉1동,0.3457381604092585,0.2521820342034947,-0.0470092232057863,0.1415448796153411,-0.1347821837445093,-0.0001382387358002,2
공릉2동,0.5874599239159205,0.1354972612552125,0.1109496210607194,0.1272141408146477,-0.2148927020119602,-0.0487842648436625,2
공항동,0.2346977815888247,0.1276998552478581,0.0740489716517634,0.0568358161022719,-0.0340857195446017,0.0198917814151016,2
광장동,0.5164027993788347,-0.2638113841186663,0.087910871582535,-0.195371050769911,-0.0883460763030164,-0.2126593487905858,3
광희동,-0.5577560560412064,0.354155830483164,0.1224251255520609,-0.0896601410925785,0.2161520653734352,0.1376279306100026,1
교남동,-0.2207074127318698,-0.1747440938042002,-0.0266783557055531,-0.214114585162228,0.1854249667520955,0.0574317429781572,0
구로1동,-0.2205034561444371,-0.3680552356314971,0.099835935554963,-0.0525325191932039,-0.1486493228546111,-0.1034170142379903,3
구로2동,-0.2693839244841464,0.0231978928998722,0.01246234437588,0.1412038794037395,0.2193427042998164,-0.0230045560593653,0
구로3동,-0.3662667067615891,0.1471598901046149,0.2163412269793961,0.0631835126300436,-0.1762376949829865,-0.1136965786067052,1
구로4동,-0.3620620600339527,-0.047022207117133,-0.0525209747617382,0.1747829671827855,0.0171463663848611,-0.0702864914712196,0
구로5동,-0.2537959431778824,0.1235036935379655,0.0628250470097475,-0.0587771674603318,-0.0288504548745334,-0.0149605540711609,1
구산동,0.3382671455112263,-0.0062054855911682,-0.0832024045363235,0.137324151277835,-0.0477809136963103,0.0358597818497634,2
구의1동,-0.0477317212684173,0.2424900009218151,-0.1245858834293378,-0.1483070943761803,-0.1050020583365891,0.0335262624794336,1
구의2동,0.1386583298452522,-0.0502544636006593,-0.0682015156298317,-0.041263187702729,-0.02782885867708,-0.093504004011123,0
구의3동,0.176991702554346,0.0150149788416258,-0.0643247391629469,-0.1839691602727271,0.0012873486063949,-0.1164180906591344,2
군자동,-0.1957375495246558,0.2111714941808297,-0.0457194277694387,-0.0235349353003087,-0.1487512617848998,-0.1024911818936505,1
금호1가동,-0.1102647282339653,-0.1912991822319067,-0.1235685117317403,-0.0760488935933712,0.066842198791715,-0.0286994895141668,0
금호2.3가동,0.0651917681388661,-0.0534600668780159,-0.1166506291577644,-0.0049606858146522,0.0087957540950584,0.0511641456592579,0
금호4가동,-0.1425687558019652,-0.1957707613644008,-0.0392820766876518,0.0253067215540356,-0.0389388155126177,-0.0606981833634511,0
길동,-0.0074952138807975,0.0391817418456049,0.0337556880947954,0.1547932707954123,-0.1239130277209963,-0.0464596277371548,0
길음1동,0.5943449872061797,-0.1670672286820365,0.1685546922729775,0.002971740692447,-0.079717718276631,-0.0827980789832475,2
길음2동,0.1149514233635099,-0.1310246040836745,-0.008266294068164,-0.1940153408368288,0.1107326157095104,-0.1259841013631576,3
낙성대동,-0.2260066936942562,0.5607190297484397,0.12505446912587,-0.080665903438349,0.0399993374923886,0.028429721959734,1
